arquivo_original,extensao,bytes,sha256
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Integrações 3b80c1676cbc8050a17bc66ddb7b34ca.md,.md,1780,b6003b541770ad12e274a66ad639ad817430716fe58f6f0f22d8b59e762894bf
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Introdução 3bf0c1676cbc806aa3fdcf642d550b1f.md,.md,2452,1936e8aae6c3e5b54dd9dea3b324982c6b8a01486499cdae489895cdc1aa9ef8
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Lançamentos Financeiros 3b70c1676cbc80288da6fa30d1249818.md,.md,9254,202df3b83010401c8b1cf670af0e43d024bae3168117e2dfd435f1ad6fae49bf
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Login e Usuários 3b70c1676cbc8086adebc7d4ee98d5ca.md,.md,5652,1ef21f2ac65f94804aa01624f3ddb47b4bf9cee3c6bfab176ed7ba32db65c607
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Rastreabilidade dos Requisitos 3c60c1676cbc8023a377f675a6abe607.md,.md,6342,0fe4f9eda3bcb84f2bbac574a15af122ecdb0858d091cf49d805d7a4f487061f
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Recorrências 3b70c1676cbc80fb85b3d0d771e1d839.md,.md,6018,31551f895bbd4926a9998f491512c2c5760c9dd4e26772dcf083e30ed72ca55d
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Regras de Negócio 3bf0c1676cbc80479456da17ea46172b.md,.md,1090,1e6c100ccce1fd891df55bb2059df64f41ac12710fd653dce70de77bbb2405ce
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Relatórios 3b70c1676cbc802aa689f30294e9131c.md,.md,4427,a723e6b13cd4dcb71034e0a002260ef5bd6191dfe226e0e8d16c2cf1bb664e46
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Requisitos Funcionais 3bf0c1676cbc805e8aebfd48fa5e7d20.md,.md,6342,55b394f29a6b1e192d939dcb4c28d32476cf104e1aa4767736c6a0e149929ff0
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Requisitos Não Funcionais 3bf0c1676cbc8059915af0c43a947aec.md,.md,6415,0c14607dc95821bcdad7c0e6bbaed5dd15fa50ac081eab9df4de7b4828cd79d0
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Restrições e Dependências 3c60c1676cbc8041bbdde39a70ed6df9.md,.md,9988,c91b583ad89d017ba6953e3c1c7c2c7264cd13923fb9877a4d9e65ed09b52311
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Segurança 3b80c1676cbc80baa82cd771cc694f9b.md,.md,5341,f8f93f29cb4412c9ac95e6303130280d50231c30c1596224a6c5d73846e66e79
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Transferências 3b70c1676cbc80038551eed7b7f2a1b6.md,.md,7422,e520fa12faa22518b61e317eebf50bc7f2912298a4f6b9a0f88bf3c276c0a908
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P f956739c4ee54321a5493d14b9d19fdb.csv,.csv,7000,992bdffba0952a38ed13c5337cf07258c02cdaf6c8b7bf8c5b0f17e6d3e2796a
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P f956739c4ee54321a5493d14b9d19fdb_all.csv,.csv,15788,23ccd4be5c0e91663663efe20e90d3f595d4e4105075198a9284609ac2a36cf8
Sistema de Gestão Financeiro Pessoal/Tópicos em discussão/Sem título/Backup local ou enviado no e-mail 3b80c1676cbc80b1b7e1f98d25c3f219.md,.md,40,3a91dcef87a213db5f5a83ec082c539960e1ad979c45258bcf81a681c0bbd80c
Sistema de Gestão Financeiro Pessoal/Tópicos em discussão/Sem título 3b80c1676cbc80c0b1ccd374122d39dc.csv,.csv,49,fd3d24307b1405c98adc786211db025274fe6c7a2b3583efe0e3b52112dfd18f
Sistema de Gestão Financeiro Pessoal/Tópicos em discussão/Sem título 3b80c1676cbc80c0b1ccd374122d39dc_all.csv,.csv,49,fd3d24307b1405c98adc786211db025274fe6c7a2b3583efe0e3b52112dfd18f
Sistema de Gestão Financeiro Pessoal/Tópicos em discussão 3b80c1676cbc80ff8efbca3b24b3d1d4.md,.md,132,8cc8ba6749ec3f81f6f12353e810f1c25e2a32137f79cb5c648ad6a1120b00db
Sistema de Gestão Financeiro Pessoal 3b50c1676cbc8051939fe234e54bc77c.md,.md,2151,5b527e24de47b3e5f0f924dd57d4b859ba88ca2c1d914d6a273fb2fd65c69649
